Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-04-29,1352.96,1369.5,1335.64,1365.43,9669.26577868,13106804.012,1355.51181568
2017-04-30,1364.98,1394.51,1334.02,1384.55,10543.183517,14314499.0287,1357.70178007
2017-05-01,1384.55,1466.69,1370.98,1436.5,16992.300997,24302005.332,1430.17742779
2017-05-02,1436.5,1492.93,1426.51,1471.99,12031.5841906,17587980.1707,1461.81748738
2017-05-03,1471.79,1533.0,1453.68,1533.0,16319.0050969,24311031.8723,1489.73737847
2017-05-04,1533.0,1665.0,1482.06,1563.39,26721.2059227,42052971.9437,1573.76774332
2017-05-05,1561.47,1630.0,1535.11,1551.3,16888.1880588,26754693.1984,1584.22520552
2017-05-06,1551.3,1598.89,1551.3,1585.39,9367.70501254,14826818.9219,1582.75894704
2017-05-07,1585.49,1618.31,1563.87,1609.57,11737.5699792,18674926.7103,1591.03858324
2017-05-08,1611.1,1713.0,1608.0,1713.0,15894.9200644,26141007.4725,1644.61396261
2017-05-09,1712.99,1794.7,1630.0,1720.43,19878.9688314,34249503.9013,1722.90143376
2017-05-10,1720.24,1799.99,1691.3,1794.99,13458.2471766,23685814.0245,1759.94791252
2017-05-11,1794.95,1889.0,1770.95,1837.93,15726.1046034,28897589.9862,1837.55549864
2017-05-12,1837.98,1838.0,1651.01,1695.61,16527.8037524,28951686.1487,1751.69590481
2017-05-13,1695.56,1792.96,1610.0,1792.73,12379.9937346,21093369.1762,1703.82712855
2017-05-14,1791.7,1829.0,1763.33,1799.99,6806.48511914,12236366.1004,1797.75109859
2017-05-15,1799.98,1802.99,1702.42,1747.81,10191.8542489,17794957.4469,1745.99803061
2017-05-16,1747.81,1777.76,1690.14,1777.48,11414.5087423,19884437.2846,1742.0318065
2017-05-17,1777.49,1840.0,1745.05,1813.23,13813.2214377,24992796.8231,1809.33875098
2017-05-18,1813.23,1900.0,1800.0,1899.16,11391.0093738,20986055.8901,1842.33505578
2017-05-19,1899.47,1980.0,1890.73,1976.23,18971.7707408,36770141.5685,1938.15021649
2017-05-20,1976.22,2059.0,1970.04,2058.91,13176.2827136,26470610.2562,2008.95888709
2017-05-21,2058.89,2102.68,1988.6,2057.0,17762.4843911,36463032.5516,2052.81151829
2017-05-22,2056.99,2298.0,1975.0,2123.29,29431.5363462,63720604.3451,2165.04512695
2017-05-23,2123.29,2283.0,2100.86,2272.75,17640.9485159,39182042.8367,2221.08481307
2017-05-24,2272.74,2474.69,2266.51,2432.97,24659.7342538,58499486.131,2372.26750009
2017-05-25,2432.96,2806.0,2226.86,2355.0,37194.8376135,95512727.2742,2567.90278981
2017-05-26,2362.17,2683.18,2052.01,2272.7,31755.902624,75147368.716,2366.40632155
2017-05-27,2276.46,2353.35,1913.19,2099.99,32466.1712343,68302919.7236,2103.81813213
2017-05-28,2099.99,2342.99,2099.86,2232.78,18342.6819711,40805239.2023,2224.6059364
2017-05-29,2237.0,2357.86,2141.12,2279.48,16926.3445728,38396946.9636,2268.47248669
2017-05-30,2279.18,2336.88,2112.31,2191.58,20915.9999948,46917317.6233,2243.13050464
2017-05-31,2191.6,2338.91,2173.8,2303.29,21726.930856,48864437.8437,2249.02625077
2017-06-01,2303.61,2488.0,2302.0,2419.99,21390.3350433,51335518.2013,2399.93988395
2017-06-02,2419.98,2478.99,2379.44,2478.99,12890.6588437,31242491.0888,2423.65355158
2017-06-03,2478.99,2599.0,2448.0,2548.05,13441.8887977,34106062.6813,2537.29689291
2017-06-04,2548.3,2556.1,2469.98,2521.36,13820.7930996,34735834.9143,2513.30257706
2017-06-05,2521.43,2698.0,2517.02,2698.0,13599.7689043,35494855.6786,2609.96020802
2017-06-06,2698.0,2938.55,2674.69,2871.29,28609.6469837,80522867.808,2814.53552551
2017-06-07,2871.29,2885.0,2598.7,2685.64,19476.1836909,54121130.7845,2778.83653406
2017-06-08,2690.02,2808.78,2611.41,2799.73,13453.6891597,36838895.0437,2738.20025172
2017-06-09,2799.76,2861.58,2786.2,2811.39,11440.3356156,32338540.3714,2826.71255968
2017-06-10,2811.37,2942.04,2801.25,2931.15,18734.8519055,53812535.3101,2872.32242782
2017-06-11,2931.16,2998.99,2881.0,2998.98,16295.4930364,47843574.154,2936.00040497
2017-06-12,2998.98,2999.99,2463.89,2655.71,38941.1821433,106930332.524,2745.94469502
